"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-18","10.96","0.00","0.0",,"48",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-19","22.82","0.02","0.0",,"67","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-20","17.90","0.17","0.0",,"68","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-21","8.50","0.03","0.0",,"61","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-22","11.63","2.30","0.0",,"55","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-23","11.63","0.21","0.0",,"51","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-24","9.62","0.04","0.0",,"55","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-25","10.51","0.00","0.0",,"51",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-26","14.99","0.74","0.0",,"49","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-27","17.90","0.66","0.0",,"50","    1","    1","    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-28","10.51","0.01","0.0",,"49",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-29","9.40","0.00","0.0",,"52",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-04-30","7.61","0.14","0.0",,"49","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-01","6.26","0.00","0.0",,"51",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-02","9.62","0.06","0.0",,"48","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-03","6.71","0.11","0.0",,"48","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-04","5.82","0.14","0.0",,"52","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-05","6.49","0.01","0.0",,"50",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-06","10.96","0.00","0.0",,"52",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-07","10.96","0.08","0.0",,"58",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-08","9.17","0.00","0.0",,"58",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-09","10.74","0.00","0.0",,"52",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-10","11.63","0.01","0.0",,"55",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-11","10.96","0.00","0.0",,"64",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-12","6.49","0.39","0.0",,"51","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-13","15.88","0.82","0.0",,"49","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-14","11.63","0.15","0.0",,"45","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-15","9.17","0.01","0.0",,"51",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-16","6.49","0.00","0.0",,"57",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-17","5.37","0.24","0.0",,"55","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-18","11.41","0.00","0.0",,"62",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-19","14.54","0.22","0.0",,"60","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-20","14.32","0.13","0.0",,"73","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-21","18.57","0.00","0.0",,"67",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-22","13.87","0.00","0.0",,"61",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-23","14.99","0.12","0.0",,"61","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-24","15.43","0.00","0.0",,"65",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-25","12.30","0.03","0.0",,"61",,,"    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-26","11.86","0.23","0.0",,"71",,,"    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-27","9.62","0.00","0.0",,"69","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-28","12.30","0.30","0.0",,"58","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-29","9.17","0.00","0.0",,"52","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-30","7.61","0.23","0.0",,"56","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-05-31","9.17","0.07","0.0",,"63","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-01","8.28","0.00","0.0",,"60","    1","    1",,,,,"    1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-02","8.28","0.04","0.0",,"56","    1","    1",,,,,"    1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-03","15.43","0.04","0.0",,"64","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-04","9.62","0.00","0.0",,"63",,,,,,,,
